"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Вишневая","Вишневый","0.9","small","39",,"39","43.3333","PRB","True","","","10884","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10884"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Голубая","Голубой","0.9","small","39",,"39","43.3333","PRB","True","","","10889","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10889"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Желто-коричневая","Желто-коричневый","0.9","small","39",,"39","43.3333","PRB","True","","","10960","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10960"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Желтая","Желтый","0.9","small","39",,"39","43.3333","PRB","True","","","10958","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10958"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Зеленая","Зелёный","0.9","small","39",,"39","43.3333","PRB","True","","","10972","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10972"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Изумрудная","Изумрудный","0.9","small","39",,"39","43.3333","PRB","True","","","10974","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10974"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Коричневая","Коричневый","0.9","small","39",,"39","43.3333","PRB","True","","","11026","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11026"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Красно-коричневая","Красно-коричневый","0.9","small","39",,"39","43.3333","PRB","True","","","11130","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11130"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Красная","Красный","0.9","small","39",,"39","43.3333","PRB","True","","","11128","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11128"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-голубая","Светло-голубой","0.9","small","39",,"39","43.3333","PRB","True","","","11207","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11207"
